Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Phân loại,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,2 phòng,Không có thông tin,Sổ đỏ/ Sổ hồng,Cơ bản,Không có thông tin,Nam,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,70 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Đang chờ sổ,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,"1,3 tỷ",2 phòng,2 phòng,Hợp đồng mua bán.,Đầy đủ,Không có thông tin,Đông - Bắc,Đông - Bắc,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Đang chờ sổ,Đầy đủ,Không có thông tin,Không có thông tin,Đông - Bắc,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,69 m²,"1,5 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,"260,73 m²",28 triệu/m²,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Đông - Bắc,Đông - Bắc,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,"103,7 m²",40 triệu/m²,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Đông - Bắc,Đông - Bắc,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Đang chờ sổ,Không có thông tin,Không có thông tin,Không có thông tin,Tây - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,2 phòng,2 phòng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Không có thông tin,Full nội thất.,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",461 m²,25 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,6 m,Không có thông tin,Không có thông tin,"Đường vào: 16,5 m; Số tầng: 4 tầng","Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",300 m²,61 triệu/m²,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",300 m²,"16,5 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không có thông tin,10 m,Tây - Bắc,Tây - Bắc,"Đường vào: 16,5 m; Số tầng: 4 tầng","Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Phường Cam Nghĩa,Cam Ranh,Khánh Hòa,Công ty TNHH KN Cam Ranh,CaraWorld Cam Ranh,"Nhà biệt thự, liền kề tại CaraWorld Cam Ranh",120 m²,"7,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,Đông - Nam,Không có thông tin,Đường vào: 21 m; Số tầng: 3 tầng,"Giá Q3/22: 75,6 tr/m²; Giá Q3/22: 75,6 tr/m²; Giá Q4/22: 59,8 tr/m²; Giá Q4/22: 59,8 tr/m²; Giá Q4/22: 59,8 tr/m²; Giá Q1/23: 49,3 tr/m²; Giá Q1/23: 49,3 tr/m²; Giá Q1/23: 49,3 tr/m²; Giá Q2/23: 49,9 tr/m²; Giá Q2/23: 49,9 tr/m²; Giá Q2/23: 49,9 tr/m²; Giá Q3/23: 59,3 tr/m²; Giá Q3/23: 59,3 tr/m²; Giá Q3/23: 59,3 tr/m²; Giá Q4/23: 54,1 tr/m²; Giá Q4/23: 54,1 tr/m²; Giá Q4/23: 54,1 tr/m²; Giá Q1/24: 56,7 tr/m²; Giá Q1/24: 56,7 tr/m²; Giá Q1/24: 56,7 tr/m²; Giá Q2/24: 56,7 tr/m²; Giá Q2/24: 56,7 tr/m²; Giá Q2/24: 56,7 tr/m²; Giá Q3/24: 53,7 tr/m²; Giá Q3/24: 53,7 tr/m²;  ","59,1 93,7; 59,1 93,7; 47,1 74,8; 47,1 74,8; 47,1 74,8; 41,4 60,5; 41,4 60,5; 41,4 60,5; 47,3 62,8; 47,3 62,8; 47,3 62,8; 49,7 73,2; 49,7 73,2; 49,7 73,2; 41 63,3; 41 63,3; 41 63,3; 48,8 64,9; 48,8 64,9; 48,8 64,9; 48,8 64,9; 48,8 64,9; 48,8 64,9; 44,1 60,9; 44,1 60,9"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",461 m²,25 tỷ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",268 m²,"16,3 tỷ",Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,10 m,Đông - Bắc,Đông - Nam,"Đường vào: 13,5 m","Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",461 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Tây - Bắc,Không có thông tin,"Đường vào: 16,5 m","Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",462 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
Xã Thủy Triều,Thủy Nguyên,Hải Phòng,Tập đoàn Vingroup,Vinhomes Royal Island,"Nhà biệt thự, liền kề tại Vinhomes Royal Island",266 m²,25 tỷ,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không có thông tin,9 m,Không có thông tin,Không có thông tin,Đường vào: 15 m; Số tầng: 4 tầng,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,"Nhà biệt thự, liền kề tại HUD Me Linh Central",328 m²,59 triệu/m²,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không có thông tin,10 m,Không có thông tin,Không có thông tin,"Đường vào: 16,5 m","Giá T10/22: 56,7 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 54,3 tr/m²; Giá T1/23: 54 tr/m²; Giá T2/23: 57,6 tr/m²; Giá T3/23: 53,9 tr/m²; Giá T4/23: 58,6 tr/m²; Giá T5/23: 48,1 tr/m²; Giá T6/23: 44,9 tr/m²; Giá T7/23: 44,4 tr/m²; Giá T8/23: 45,5 tr/m²; Giá T9/23: 45,2 tr/m²; Giá T10/23: 49,5 tr/m²; Giá T11/23: 46,3 tr/m²; Giá T12/23: 48,1 tr/m²; Giá T1/24: 50,1 tr/m²; Giá T2/24: 48,9 tr/m²; Giá T3/24: 50 tr/m²; Giá T4/24: 57,2 tr/m²; Giá T5/24: 55,8 tr/m²; Giá T6/24: 53,2 tr/m²; Giá T7/24: 58,8 tr/m²; Giá T8/24: 61,2 tr/m²; Giá T9/24: 60,8 tr/m²; Giá T10/24: 61,9 tr/m²;  ","42,7 62,8; 47,7 62,4; 42,3 60,5; 48 62,2; 51,9 61,5; 49,8 64; 52 78,8; 37,4 59,6; 32,8 53,9; 36 56,2; 36,2 57,7; 36,5 52,8; 37 57,5; 36,7 57,7; 40 57,1; 38,3 63,4; 37,5 59,6; 40 63,7; 44,2 65,4; 44,5 67,9; 43,2 67,9; 45,1 76,9; 47,8 72,3; 47,8 78,4; 48,3 78,4"
